Date,Time,DateTime,Casino,Wallet Address,Amount,Token,USD Value
2026-02-15,11:00:35,2026-02-15T11:00:35.000Z,Rollbit,0xcbd6832ebc203e49e2b771897067fce3c58575ac,0.079999,ETH,224.00
2026-02-15,11:00:35,2026-02-15T11:00:35.000Z,Rainbet,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009996,ETH,27.99
2026-02-15,11:00:35,2026-02-15T11:00:35.000Z,Rainbet,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.009719,ETH,27.21
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000078,ETH,0.22
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000076,ETH,0.21
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.139539,ETH,390.71
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000076,ETH,0.21
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000076,ETH,0.21
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000085,ETH,0.24
2026-02-15,11:00:59,2026-02-15T11:00:59.000Z,Rainbet,0x307576dd4f73f91bb8c4a2edb762938e8e067d31,0.018271,ETH,51.16
2026-02-15,11:01:11,2026-02-15T11:01:11.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.042373,ETH,118.64
2026-02-15,11:01:59,2026-02-15T11:01:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.033806,ETH,94.66
2026-02-15,11:01:59,2026-02-15T11:01:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.004415,ETH,12.36
2026-02-15,11:01:59,2026-02-15T11:01:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.024096,ETH,67.47
2026-02-15,11:01:59,2026-02-15T11:01:59.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.045762,ETH,128.13
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.041412,ETH,115.95
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.017178,ETH,48.10
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
2026-02-15,11:02:35,2026-02-15T11:02:35.000Z,Stake,0x974CaA59e49682CdA0AD2bbe82983419A2ECC400,0.000089,ETH,0.25
